found_date,id,title,company,location,created,salary_min,salary_max,category,url
2026-07-05,5788152148,Executive Chef - Edinburgh,BaxterStorey,"Edinburgh, Scotland",2026-07-04,34436.91,34436.91,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152148?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152150,Front of House Catering Restaurant Assistant - Methley,BaxterStorey,"Settle, North Yorkshire",2026-07-04,24994.32,24994.32,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152150?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152154,Chef De Partie - Mon to Fri - Isleworth - Isleworth,BaxterStorey,"Isleworth, West London",2026-07-04,31078.27,31078.27,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152154?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152130,General Assistant - Stockton-on-tees,BaxterStorey,"Stockton-On-Tees, County Durham",2026-07-04,28450.73,28450.73,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152130?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152132,General Assistant - Chester,BaxterStorey,"Chester, Cheshire",2026-07-04,28577.01,28577.01,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152132?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152134,Front of House Catering Restaurant Assistant - Methley,BaxterStorey,"Settle, North Yorkshire",2026-07-04,25315.46,25315.46,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152134?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152124,Night Front of House Assistant - Methley,BaxterStorey,"Settle, North Yorkshire",2026-07-04,26604.99,26604.99,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152124?utm_medium=api&utm_source=bce444a8
2026-07-05,5788152131,Kitchen Porter - Stockton-on-tees,BaxterStorey,"Stockton-On-Tees, County Durham",2026-07-04,28100.58,28100.58,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788152131?utm_medium=api&utm_source=bce444a8
2026-07-05,5788149063,Barista - Birmingham,BaxterStorey,"Birmingham, West Midlands",2026-07-04,25865.06,25865.06,Hospitality & Catering Jobs,https://www.adzuna.co.uk/jobs/details/5788149063?utm_medium=api&utm_source=bce444a8
2026-07-05,5788128665,Teaching Assistant – Wraparound,Streethay Primary School,"Lichfield, Staffordshire",2026-07-04,25186,25989,Teaching Jobs,https://www.adzuna.co.uk/jobs/details/5788128665?utm_medium=api&utm_source=bce444a8
